,Company,Operating_System,Model,RAM(GB),Hard Disk(GB),Price(₹),Rating,Total Reviews,Product Links
41,LG,,"Gram17 Intel EVO-[12th Gen Core i5/Win11/8GB/512GB SSD Intel Iris Xe Graphics] [Thunderbolt4/USB-C] [FHD Webcam+Built-in AI] 80WH Battery 3 Yrs Warranty (Black,1.35 kg)",8,512,87990,4.3,7,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo0NzE5OTY5MzIwNjg3NjM0OjE2ODEzNzAyMzQ6c3BfbXRmOjIwMTA5Njg0NjI3NDk4OjowOjo&url=%2FLG-Graphics-Thunderbolt4-Battery-Warranty%2Fdp%2FB0B4V71382%2Fref%3Dsr_1_267_sspa%3Fkeywords%3Dlaptops%26qid%3D1681370234%26sr%3D8-267-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1
42,HP,,"14s, 11th Gen Intel Core i3-1115G4, 8GB RAM/256GB SSD 14-inch(35.6 cm) Micro-Edge, Anti-Glare, FHD Laptop/Alexa Built-in/Win 11/Intel UHD Graphics/Dual Speakers/MSO 2021/1.41 Kg, 14s-dy2507TU",8,256,37490,4.1,558,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo0NzE5OTY5MzIwNjg3NjM0OjE2ODEzNzAyMzQ6c3BfbXRmOjIwMTA5NzkxMTIyNjk4OjowOjo&url=%2FHP-i3-1115G4-Micro-Edge-Anti-Glare-14s-dy2507TU%2Fdp%2FB0B63Y75P9%2Fref%3Dsr_1_268_sspa%3Fkeywords%3Dlaptops%26qid%3D1681370234%26sr%3D8-268-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1
43,Xiaomi,,"Notebook Ultra Max 11th Gen Intel Core i5-11320H Thin & Light (16GB/512GB SSD/Iris Xe Graphics/15.6"" 3.2K Resolution/Win 11/Thunderbolt 4/MS Office '21/Fingerprint Sensor/1.7 Kg)",16,512,56999,4.2,545,https://www.amazon.in/Xiaomi-i5-11320H-Resolution-Thunderbolt-Fingerprint/dp/B0BHZM89M6/ref=sr_1_269?keywords=laptops&qid=1681370234&sr=8-269
44,MSI,Windows 11,"GF63 Thin, Intel 11th Gen. i5-11400H, 40CM FHD 144Hz Gaming Laptop (8GB/512GB NVMe SSD/Windows 11 Home/NVIDIA RTX 3050 4GB GDDR6/Black/1.86Kg), 11UC-867IN",8,,65990,4.2,29,https://www.amazon.in/MSI-i5-11400H-Gaming-Windows-11UC-867IN/dp/B0BGZN7FWV/ref=sr_1_270?keywords=laptops&qid=1681370234&sr=8-270
45,ASUS,Windows 11,"Zenbook Pro Duo 15 OLED (2022),15.6""(39.62 cms) 4K OLED Touch,Intel Core i7-12700H 12th Gen,Dual Screen Laptop(32GB/1TB SSD/6GB GeForce RTX 3060/Windows 11/Office 2021/Blue/2.3 kg),UX582ZM-H701WS",32,1,199990,4.0,1,https://www.amazon.in/ASUS-Zenbook-Core-i7-12700H-GeForce-RTX-3060-UX582ZM-H701WS/dp/B0B4WKK3DM/ref=sr_1_271?keywords=laptops&qid=1681370234&sr=8-271
46,MSI,Windows 11,"Katana GF66, Intel 12th Gen. i5-12450H, 40CM FHD 144 Hz Gaming Laptop (16GB/512GB NVMe SSD/Windows 11 Home/Nvidia RTX3060 6GB GDDR6/Black/2.25Kg), 12UE-1001IN",16,,84990,3.6,15,https://www.amazon.in/MSI-i5-12450H-Windows-RTX3060-12UE-1001IN/dp/B0B8ZY4SKQ/ref=sr_1_272?keywords=laptops&qid=1681370234&sr=8-272
47,ASUS,Windows 10,"ZenBook 14e (2021) Intel Core i5-1135G7 11th Gen 14.0 inches FHD, 8GB/512GB SSD/Office 2019/Windows 10/2GB NVIDIA MX450 Graphics Thin and Light Business Laptop (Grey/1.29 kg), UX435EG-AI501TS",8,512,68690,4.0,15,https://www.amazon.in/ASUS-i5-1135G7-Graphics-Business-UX435EG-AI501TS/dp/B096W1JGDH/ref=sr_1_273?keywords=laptops&qid=1681370234&sr=8-273
48,Dell,Windows 11,"G15-5520 Gaming Laptop, Intel i9-12900H, 16GB DDR5, 1TB SSD, NVIDIA RTX 3060 (6GB GDDR6), 15.6"" (39.62Cms) FHD WVA AG, Windows 11+ MSO'21, Dark Shadow Grey (D560897WIN9S, 2.81Kgs)",16,1,138990,4.1,13,https://www.amazon.in/Dell-G15-5520-Gaming-i9-12900H-D560897WIN9S/dp/B0BHYR5G1Z/ref=sr_1_274?keywords=laptops&qid=1681370234&sr=8-274
49,Lenovo,Windows 11,"ThinkPad E14 Intel Core i5 12th Gen 14"" FHD Thin and Light Laptop (16GB RAM/1TB SSD/Windows 11 Home/MS Office H&S 2021/FPR/Backlit Keyboard/Black/1.59 kg), 21E3S04U00",16,1,74990,4.7,4,https://www.amazon.in/Lenovo-ThinkPad-Windows-Keyboard-21E3S04U00/dp/B0BDM5ZZ86/ref=sr_1_275?keywords=laptops&qid=1681370234&sr=8-275
50,Honor,Windows 11,"MagicBook 14, AMD Ryzen 5 5500U 14-inch (35.56 cm) FHD IPS Anti-Glare Thin and Light Laptop (8GB/512GB PCIe SSD/Windows 11/Fingerprint Login/Metal Body/Backlit KB/1.38Kg), Gray, NobelM-WDQ9BHNE",8,,38990,4.2,351,https://www.amazon.in/Honor-MagicBook-Anti-Glare-Fingerprint-NobelM-WDQ9BHNE/dp/B0BC9VHH9F/ref=sr_1_276?keywords=laptops&qid=1681370234&sr=8-276
51,ASUS,Windows 11,"Vivobook S15 OLED 2022, 15.6"" 39.62 cm FHD OLED, Intel Core Evo i5-12500H 12th Gen, Thin and Light Laptop (16GB/512GB SSD/Iris Xe Graphics/Windows 11/Office 2021/Black/1.8 kg) K3502ZA-L502WS",16,512,72990,4.0,168,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo0NzE5OTY5MzIwNjg3NjM0OjE2ODEzNzAyMzQ6c3BfYnRmOjIwMTA5Njg0NjI2Njk4OjowOjo&url=%2FASUS-Vivobook-Intel-Core-Evo-i5-12500H-K3502ZA-L502WS%2Fdp%2FB09YHCTHDY%2Fref%3Dsr_1_277_sspa%3Fkeywords%3Dlaptops%26qid%3D1681370234%26sr%3D8-277-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1
52,Fujitsu,Windows 11,"CH Intel Evo Core i5 11th Gen 13.3ââ¬  FHD IGZO Panel 400Nits Thin & Light Laptop(16GB/512GB SSD/Windows 11/Office 2021/Iris Xe Graphics/Backlit/2Yr Warranty/Brown/988gm),4ZR1H03553",16,512,59990,3.9,156,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo0NzE5OTY5MzIwNjg3NjM0OjE2ODEzNzAyMzQ6c3BfYnRmOjIwMDc5ODEyNzYyNDk4OjowOjo&url=%2FFujitsu-400Nits-Graphics-Warranty-4ZR1H03553%2Fdp%2FB09Z9JRCK1%2Fref%3Dsr_1_278_sspa%3Fkeywords%3Dlaptops%26qid%3D1681370234%26sr%3D8-278-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1
53,ASUS,Windows 11,"ASUS TUF Gaming A15, 15.6-inch (39.62 cms) FHD 144Hz, AMD Ryzen 7 4800H, 4GB NVIDIA GeForce RTX 3050, Gaming Laptop (8GB/512GB SSD/Windows 11/Black/2.3 Kg), FA506ICB-HN005W",4,512,,1.0,1,https://www.amazon.in/Renewed-ASUS-15-6-inch-NVIDIA-GeForce-RTX-3050-FA506ICB-HN005W/dp/B0B93NW4VL/ref=sr_1_273?keywords=laptops&qid=1681370401&sr=8-273
54,Lenovo,Windows 10,"IdeaPad Slim 3 11th Gen Intel Core i5 15.6"" (39.62cm) FHD IPS Thin & Light Laptop (8GB/512GB SSD/Windows 10/MS Office/2Yr Warranty/Backlit Keyboard/Arctic Grey/1.65Kg), 82H801KAIN",8,512,56000,4.3,76,https://www.amazon.in/Lenovo-IdeaPad-Warranty-Keyboard-82H801KAIN/dp/B09FHSCTPF/ref=sr_1_274?keywords=laptops&qid=1681370401&sr=8-274
